"","time"
"1945",30581
"1946",31184
"1947",31786
"1948",32857
"1949",33552
"1950",34800
"1951",35416
"1952",11662
"1953",12984
"1954",13776
"1955",14379
"1956",14982
"1957",15583
"1958",16185
"1959",17313
"1960",18446
"1961",19048
"1962",19650
"1963",20629
"1964",22058
"1965",22660
"1966",23463
"1967",24072
"1968",24674
"1969",25276
"1970",25878
"1971",26480
"1972",27536
"1973",28529
"1974",29170
"1975",30618
"1976",31860
"1977",33408
"1978",34229
"1979",34831
"1980",2705
"1981",3307
"1982",5765
"1983",7352
"1984",8092
"1985",9963
"1986",10566
"1987",11448
"1988",12213
"1989",12817
"1990",13446
"1991",15246
"1992",15848
"1993",16807
"1994",17408
"1995",20474
"1996",22041
"1997",22643
"1998",23245
"1999",23848
"2000",24451
"2001",25052
"2002",25683
"2003",26491
"2004",27094
"2005",27697
"2006",28316
"2007",29666
"2008",30267
"2009",30877
"2010",32243
"2011",33227
"2012",34686
"2013",35376
"2014",2958
"2015",4606
"2016",5208
"2017",6476
"2018",7806
"2019",8538
"2020",9139
"2021",10021
"2022",10625
"2023",11362
"2024",12141
"2025",12770
"2026",13439
"2027",14045
"2028",14702
"2029",15303
"2030",15930
"2031",16625
"2032",17249
"2033",17902
"2034",18504
"2035",19106
"2036",21102
"2037",22321
"2038",25080
"2039",25682
"2040",26284
"2041",27044
"2042",27808
"2043",28410
"2044",29013
"2045",29787
"2046",30388
"2047",30990
"2048",31592
"2049",32942
"2050",34333
"2051",31665
"2052",5124
"2053",6736
"2054",7338
"2055",8225
"2056",9366
"2057",11226
"2058",14778
"2059",15380
"2060",20481
"2061",21084
"2062",21687
"2063",22289
"2064",22891
"2065",24328
"2066",24930
"2067",25629
"2068",26977
"2069",28014
"2070",29767
"2071",35506
"2072",1986
"2073",2588
"2074",3190
"2075",5069
"2076",8167
"2077",8769
"2078",9371
"2079",9974
"2080",10577
"2081",12170
"2082",12771
"2083",13392
"2084",14505
"2085",15107
"2086",18117
"2087",18720
"2088",20128
"2089",20734
"2090",21336
"2091",25001
"2092",25604
"2093",27448
"2094",28250
"2095",28853
"2096",29714
"2097",30392
"2098",30994
"2099",31596
"2100",33099
"2101",4599
"2102",5710
"2103",8100
"2104",8702
"2105",9304
"2106",10251
"2107",11798
"2108",12400
"2109",13415
"2110",14032
"2111",14747
"2112",15348
"2113",17002
"2114",18255
"2115",18857
"2116",21605
"2117",22544
"2118",24364
"2119",24966
"2120",25998
"2121",26602
"2122",27237
"2123",28054
"2124",28759
"2125",29360
"2126",29962
"2127",31611
"2128",32215
"2129",32956
"2130",33560
"2131",34166
"2132",34875
"2133",35478
"2134",2574
"2135",3899
"2136",4592
"2137",6852
